fips,district,year,enrollment,cs_score,locale,is_rural,enrollment_log10
4003660,Battiest,2024,225,-0.0568751418660186,43-Rural: Remote,1,2.3521825181113627
4003660,Battiest,2023,225,0.0587957936251094,43-Rural: Remote,1,2.3521825181113627
4003660,Battiest,2022,234,-0.0828738497173697,43-Rural: Remote,1,2.369215857410143
4003660,Battiest,2019,251,0.1245760414322217,43-Rural: Remote,1,2.399673721481038
4003660,Battiest,2018,269,0.1062448067145307,43-Rural: Remote,1,2.429752280002408
4003660,Battiest,2017,287,0.1279867824831442,43-Rural: Remote,1,2.4578818967339924
4003660,Battiest,2016,278,0.1656401599550263,43-Rural: Remote,1,2.444044795918076
4003660,Battiest,2015,270,0.3210549337910348,43-Rural: Remote,1,2.4313637641589874
4003660,Battiest,2014,274,0.2155730216070635,43-Rural: Remote,1,2.437750562820388
4003690,Bearden,2024,143,-0.3470920244345503,43-Rural: Remote,1,2.155336037465062
4003690,Bearden,2023,140,-0.4260203379055107,42-Rural: Distant,1,2.146128035678238
4003690,Bearden,2022,141,-0.399013204284448,42-Rural: Distant,1,2.1492191126553797
4003690,Bearden,2019,146,-0.3711621910906433,42-Rural: Distant,1,2.164352855784437
4003690,Bearden,2018,150,-0.474213950233863,42-Rural: Distant,1,2.1760912590556813
4003690,Bearden,2017,122,-0.3622296269664297,42-Rural: Distant,1,2.0863598306747484
4003690,Bearden,2016,95,-0.3766255052313663,42-Rural: Distant,1,1.9777236052888478
4003690,Bearden,2015,105,-0.4127901516456833,42-Rural: Distant,1,2.0211892990699383
4003690,Bearden,2014,113,-0.5738681805098089,42-Rural: Distant,1,2.0530784434834195
4003750,Beaver,2024,242,-0.4184124214562216,43-Rural: Remote,1,2.383815365980431
4003750,Beaver,2023,260,-0.2680701171208574,43-Rural: Remote,1,2.4149733479708178
4003750,Beaver,2022,281,-0.3254068557020471,43-Rural: Remote,1,2.44870631990508
4003750,Beaver,2019,312,-0.0023729976715289,43-Rural: Remote,1,2.494154594018443
4003750,Beaver,2018,347,-0.0113089510591829,43-Rural: Remote,1,2.5403294747908736
4003750,Beaver,2017,377,-0.1157187741775113,43-Rural: Remote,1,2.576341350205793
4003750,Beaver,2016,369,-0.0229624791238137,43-Rural: Remote,1,2.56702636615906
4003750,Beaver,2015,393,-0.1828678319324203,43-Rural: Remote,1,2.5943925503754266
4003750,Beaver,2014,371,0.0479579793877402,43-Rural: Remote,1,2.569373909615046
4003810,Beggs,2024,951,-0.2027573968969575,42-Rural: Distant,1,2.978180516937414
4003810,Beggs,2023,1073,-0.227126797173505,42-Rural: Distant,1,3.030599721965951
4003810,Beggs,2022,1050,-0.0942628314040798,42-Rural: Distant,1,3.0211892990699383
4003810,Beggs,2019,1054,-0.0388254386599653,42-Rural: Distant,1,3.022840610876528
4003810,Beggs,2018,1077,0.0256072279042736,42-Rural: Distant,1,3.0322157032979815
4003810,Beggs,2017,1094,-0.0777866623612404,42-Rural: Distant,1,3.039017321997412
4003810,Beggs,2016,1130,-0.2611026462316226,42-Rural: Distant,1,3.0530784434834195
4003810,Beggs,2015,1168,-0.3264942066960956,42-Rural: Distant,1,3.0674428427763805
4003810,Beggs,2014,1174,-0.3577860435688761,42-Rural: Distant,1,3.0696680969115957
4003840,Belfonte,2024,143,-1.113989462040835,42-Rural: Distant,1,2.155336037465062
4003840,Belfonte,2023,162,-0.905446664817142,42-Rural: Distant,1,2.2095150145426308
4003840,Belfonte,2022,166,-0.8760498173628026,42-Rural: Distant,1,2.220108088040055
4003840,Belfonte,2019,172,-0.7955113200580634,42-Rural: Distant,1,2.2355284469075487
4003840,Belfonte,2018,194,-0.4402882794370028,42-Rural: Distant,1,2.287801729930226
4003840,Belfonte,2017,202,-0.5439268818936881,42-Rural: Distant,1,2.305351369446624
4003840,Belfonte,2016,207,-0.2353059283203805,42-Rural: Distant,1,2.315970345456918
